code,area,population,population density,median age,children under 15,people over 64,fertility rate,Indigenous,religious,born overseas,born in Oceania,born in north-west Europe,born in southern & eastern Europe,born in north Africa & Middle East,born in south-east Asia,born in north-east Asia,born in southern & central Asia,born in Americas,born in sub-Saharan Africa,median house price,median income,low income (bottom quartile),high income (top quartile),postgraduates,university graduates,jobs: managers,jobs: professionals,jobs: technicians & trades,jobs: community work,jobs: clerical,jobs: sales,jobs: machinery & drivers,jobs: labourers,home owners (outright),home owners (mortgage),renters,detached houses,artificial surfaces,lng,lat
801091101,Farrer,3360.0,1624.2,41.1,0.204,0.182,0.0196,0.01,0.752,0.24,0.018000000000000002,0.073,0.027999999999999997,0.009000000000000001,0.032,0.017,0.04,0.013999999999999999,0.012,835000.0,68004.0,0.19,0.391,0.11800000000000001,0.41,0.156,0.40399999999999997,0.047,0.106,0.149,0.059000000000000004,0.033,0.019,0.40700000000000003,0.353,0.196,0.8059701492537313,0.016574585635359115,149.1050014505672,-35.37671490084181
801091102,Garran,3663.0,1358.4,43.0,0.23,0.20800000000000002,0.0159,0.008,0.764,0.33,0.023,0.083,0.028999999999999998,0.013000000000000001,0.042,0.04,0.076,0.013999999999999999,0.01,1057500.0,77759.0,0.16699999999999998,0.45399999999999996,0.153,0.475,0.161,0.545,0.03,0.076,0.087,0.031,0.012,0.021,0.34700000000000003,0.293,0.321,0.5991452991452991,0.01858736059479554,149.1084647113367,-35.341376705430335
801091103,Hughes,3004.0,1678.8,40.5,0.212,0.177,0.0165,0.012,0.645,0.24600000000000002,0.025,0.084,0.02,0.006999999999999999,0.025,0.02,0.028999999999999998,0.024,0.013000000000000001,950000.0,73574.0,0.19,0.441,0.163,0.48599999999999993,0.142,0.462,0.033,0.125,0.128,0.019,0.008,0.057999999999999996,0.375,0.324,0.252,0.7454370797310279,0.03550295857988166,149.09491536727091,-35.33267372082523
801091104,Isaacs,2341.0,758.1,49.0,0.162,0.27799999999999997,0.0194,0.006,0.785,0.366,0.016,0.073,0.048,0.028999999999999998,0.047,0.038,0.08,0.016,0.021,1045000.0,70614.0,0.179,0.395,0.133,0.425,0.165,0.39399999999999996,0.040999999999999995,0.095,0.16,0.05,0.024,0.037000000000000005,0.49700000000000005,0.278,0.2,0.8242009132420092,,149.11555984251137,-35.36861140615183
801091105,Lyons,3141.0,1388.7,39.6,0.153,0.195,0.0143,0.016,0.727,0.321,0.024,0.064,0.027000000000000003,0.011000000000000001,0.046,0.039,0.078,0.013000000000000001,0.022000000000000002,890000.0,59655.0,0.198,0.312,0.113,0.37,0.086,0.266,0.13,0.163,0.136,0.038,0.021,0.149,0.289,0.204,0.46,0.505957108816521,0.017316017316017316,149.07396794057087,-35.3405920026388
801091106,Mawson,3384.0,1601.7,39.9,0.179,0.18899999999999997,0.015300000000000001,0.017,0.762,0.34299999999999997,0.017,0.063,0.031,0.015,0.045,0.036000000000000004,0.099,0.016,0.022000000000000002,792500.0,62131.0,0.17800000000000002,0.336,0.111,0.414,0.11699999999999999,0.321,0.125,0.133,0.111,0.071,0.03,0.076,0.31,0.27399999999999997,0.39399999999999996,0.5614035087719298,0.0273972602739726,149.0986313540562,-35.36338812883861
801091107,O'Malley,1074.0,412.0,47.7,0.149,0.23399999999999999,,,0.801,0.41600000000000004,0.022000000000000002,0.051,0.081,0.035,0.048,0.05,0.061,0.042,0.025,1637500.0,72904.0,0.182,0.431,0.15,0.467,0.278,0.413,0.035,0.022000000000000002,0.126,0.039,0.044000000000000004,0.022000000000000002,0.528,0.332,0.111,0.9540983606557377,,149.1128067193992,-35.35252116016076
801091108,Pearce,2702.0,1586.4,44.6,0.16399999999999998,0.22,0.02,0.016,0.741,0.239,0.02,0.066,0.035,0.006,0.024,0.013999999999999999,0.042,0.012,0.013000000000000001,955000.0,71870.0,0.166,0.41600000000000004,0.11199999999999999,0.413,0.142,0.39,0.057999999999999996,0.11900000000000001,0.126,0.052000000000000005,0.032,0.045,0.374,0.327,0.27899999999999997,0.6291793313069909,0.01775147928994083,149.08338512826114,-35.36220879931701
801091109,Phillip,4274.0,1659.9,33.9,0.147,0.086,0.0144,0.013000000000000001,0.8049999999999999,0.47200000000000003,0.016,0.047,0.023,0.019,0.08,0.061,0.18899999999999997,0.013999999999999999,0.024,,73101.0,0.133,0.37799999999999995,0.124,0.516,0.064,0.47600000000000003,0.064,0.122,0.09,0.043,0.018000000000000002,0.11,0.151,0.23,0.5920000000000001,0.0021474588403722263,0.015209125475285171,149.09090470926134,-35.34702120247187
801091110,Torrens,2162.0,1661.4,42.4,0.196,0.19,0.0229,0.012,0.728,0.24,0.016,0.062,0.032,0.01,0.027999999999999997,0.027000000000000003,0.044000000000000004,0.012,0.006999999999999999,740000.0,68967.0,0.17800000000000002,0.4,0.1,0.39799999999999996,0.187,0.35600000000000004,0.076,0.121,0.121,0.069,0.021,0.045,0.368,0.358,0.252,0.8640406607369758,0.028985507246376812,149.08773937788098,-35.372014169943235
801101135,Coombs,3806.0,1642.0,31.5,0.26599999999999996,0.037,0.0235,0.013999999999999999,0.795,0.35200000000000004,0.01,0.044000000000000004,0.017,0.025,0.062,0.040999999999999995,0.128,0.011000000000000001,0.013999999999999999,820000.0,74179.0,0.14,0.402,0.14400000000000002,0.47600000000000003,0.124,0.452,0.07400000000000001,0.102,0.121,0.055,0.017,0.043,0.106,0.738,0.13,0.5317073170731708,0.02100840336134454,149.04244291617826,-35.31674838121605
801101136,Denman Prospect,963.0,203.0,30.0,0.25799999999999995,0.023000000000000003,,,,,,,,,,,,,,965000.0,90337.0,0.13,0.547,,0.0,,,,,,,,,,,,,,149.02482065986257,-35.296408215894644
801101139,Wright,3786.0,2977.4,32.6,0.2,0.041999999999999996,0.0105,0.005,0.752,0.293,0.018000000000000002,0.040999999999999995,0.013000000000000001,0.023,0.044000000000000004,0.043,0.08900000000000001,0.013999999999999999,0.008,872500.0,79150.0,0.11,0.44,0.13,0.496,0.135,0.452,0.076,0.071,0.14400000000000002,0.061,0.012,0.028999999999999998,0.069,0.698,0.21100000000000002,0.3428308823529412,0.048,149.03360131559973,-35.31926720098609
